Resultados de Detección de Fuego:

Imágenes con FUEGO:
2.jpg: Sí (Detección Correcta)
F_1.jpg: Sí (Detección Correcta)
F_10.jpg: Sí (Detección Correcta)
F_12.jpg: Sí (Detección Correcta)
F_13.jpg: Sí (Detección Correcta)
F_16.jpg: Sí (Detección Correcta)
F_18.jpg: Sí (Detección Correcta)
F_2.jpg: Sí (Detección Correcta)
F_24.jpg: Sí (Detección Correcta)
F_26.jpg: Sí (Detección Correcta)
F_29.jpg: Sí (Detección Correcta)
F_30.jpg: Sí (Detección Correcta)
F_4.jpg: Sí (Detección Correcta)
F_5.jpg: Sí (Detección Correcta)
F_6.jpg: Sí (Detección Correcta)
F_7.jpg: Sí (Detección Correcta)
bosque8.jpg: Sí (Detección Correcta)
d3.jpg: Sí (Detección Correcta)
df.jpg: Sí (Detección Correcta)
ee.jpg: Sí (Detección Correcta)

Imágenes SIN fuego:
NF_10.jpg: No (Detección Correcta)
NF_11.jpg: No (Detección Correcta)
NF_12.jpg: No (Detección Correcta)
NF_14.jpg: No (Detección Correcta)
NF_17.jpg: No (Detección Correcta)
NF_19.jpg: No (Detección Correcta)
NF_24.jpg: No (Detección Correcta)
NF_25.jpg: No (Detección Correcta)
NF_27.jpg: No (Detección Correcta)
NF_28.jpg: No (Detección Correcta)
NF_3.jpg: No (Detección Correcta)
NF_34.jpg: No (Detección Correcta)
NF_35.jpg: No (Detección Correcta)
NF_37.jpg: No (Detección Correcta)
NF_42.jpg: No (Detección Correcta)
NF_45.jpg: No (Detección Correcta)
NF_46.jpg: No (Detección Correcta)
NF_5.jpg: No (Detección Correcta)
NF_8.jpg: No (Detección Correcta)
bosque1.jpg: Sí (Detección Errónea)
