Resultados de Detección de Fuego:

Imágenes con FUEGO:
F1.jpg: Sí (Detección Correcta)
F10.jpg: Sí (Detección Correcta)
F100.jpg: Sí (Detección Correcta)
F1000.jpg: Sí (Detección Correcta)
F1001.jpg: Sí (Detección Correcta)
F1002.jpg: Sí (Detección Correcta)
F1003.jpg: Sí (Detección Correcta)
F1004.jpg: Sí (Detección Correcta)
F1005.jpg: Sí (Detección Correcta)
F1006.jpg: Sí (Detección Correcta)
F1007.jpg: Sí (Detección Correcta)
F1008.jpg: No (Detección Errónea)
F1009.jpg: Sí (Detección Correcta)
F101.jpg: Sí (Detección Correcta)
F1010.jpg: Sí (Detección Correcta)
F1011.jpg: Sí (Detección Correcta)
F1012.jpg: Sí (Detección Correcta)
F1013.jpg: Sí (Detección Correcta)
F1014.jpg: Sí (Detección Correcta)
F1015.jpg: No (Detección Errónea)
F1016.jpg: Sí (Detección Correcta)
F1017.jpg: Sí (Detección Correcta)
F1018.jpg: Sí (Detección Correcta)
F1019.jpg: Sí (Detección Correcta)
F102.jpg: Sí (Detección Correcta)
F1020.jpg: Sí (Detección Correcta)
F1021.jpg: Sí (Detección Correcta)
F1022.jpg: Sí (Detección Correcta)
F1023.jpg: Sí (Detección Correcta)
F1024.jpg: Sí (Detección Correcta)
F1025.jpg: Sí (Detección Correcta)
F1026.jpg: Sí (Detección Correcta)
F1027.jpg: Sí (Detección Correcta)
F1028.jpg: Sí (Detección Correcta)
F1029.jpg: Sí (Detección Correcta)
F103.jpg: Sí (Detección Correcta)
F1030.jpg: Sí (Detección Correcta)
F1031.jpg: Sí (Detección Correcta)
F1032.jpg: Sí (Detección Correcta)
F1033.jpg: Sí (Detección Correcta)
F1034.jpg: No (Detección Errónea)
F1035.jpg: Sí (Detección Correcta)
F1036.jpg: Sí (Detección Correcta)
F1037.jpg: Sí (Detección Correcta)
F1038.jpg: Sí (Detección Correcta)
F1039.jpg: Sí (Detección Correcta)
F104.jpg: Sí (Detección Correcta)
F1040.jpg: Sí (Detección Correcta)
F1041.jpg: Sí (Detección Correcta)
F1042.jpg: No (Detección Errónea)
F1043.jpg: No (Detección Errónea)
F1044.jpg: Sí (Detección Correcta)
F1045.jpg: No (Detección Errónea)
F1046.jpg: Sí (Detección Correcta)
F1047.jpg: Sí (Detección Correcta)
F1048.jpg: Sí (Detección Correcta)
F1049.jpg: Sí (Detección Correcta)
F105.jpg: Sí (Detección Correcta)
F1050.jpg: Sí (Detección Correcta)
F1051.jpg: Sí (Detección Correcta)
