Tiempo,CPU,RAM,Temp,Corriente (mA)
0,40.8,54.6,31.641,326.4329268292683
0,57.1,59.0,33.589,321.0365853658537
1,99.5,59.3,33.589,446.0670731707317
1,100.0,59.3,35.537,460.0609756097561
2,100.0,59.3,34.563,444.8780487804878
2,100.0,59.2,36.024,420.0914634146342
3,100.0,59.2,35.537,433.26219512195127
3,100.0,59.2,36.511,433.07926829268297
4,100.0,59.2,36.998,430.1524390243903
4,100.0,59.2,37.972,431.890243902439
5,100.0,59.2,37.972,443.8719512195122
5,100.0,59.2,36.998,430.609756097561
6,100.0,59.2,36.998,455.3048780487805
6,100.0,59.2,37.972,429.6951219512195
7,100.0,59.2,38.459,438.3841463414634
7,100.0,59.2,37.972,430.3353658536586
8,100.0,59.1,37.972,437.1951219512195
8,100.0,59.1,38.946,431.1585365853658
9,100.0,59.1,38.946,460.7926829268293
9,100.0,59.1,38.946,452.1036585365853
10,100.0,58.8,39.433,451.1890243902439
10,100.0,58.8,38.946,458.2317073170732
11,100.0,58.7,38.946,442.2256097560975
11,100.0,58.7,39.433,436.00609756097566
12,100.0,58.7,38.946,435.9146341463415
12,100.0,58.7,38.946,467.01219512195127
13,100.0,58.7,40.407,459.8780487804878
13,100.0,58.7,39.92,441.85975609756093
14,100.0,58.7,40.407,436.00609756097566
14,100.0,58.7,39.92,444.23780487804873
15,100.0,58.7,40.894,422.2865853658537
15,100.0,58.7,39.92,448.4451219512195
16,100.0,58.7,40.894,440.3963414634146
16,100.0,58.7,39.92,425.2134146341464
17,100.0,58.7,40.894,423.6585365853658
17,80.4,58.7,39.433,439.29878048780483
18,26.5,58.8,38.459,354.2378048780488
18,37.4,30.3,38.459,319.5731707317073
19,34.2,35.8,38.946,327.6219512195122
19,38.6,42.8,36.998,323.5975609756098
20,84.4,44.7,38.946,319.7560975609756
20,100.0,44.7,38.946,429.8780487804878
21,100.0,44.7,38.946,419.359756097561
21,100.0,44.7,39.92,429.2378048780488
22,100.0,44.7,39.92,439.48170731707313
22,100.0,44.7,40.407,443.2317073170732
23,100.0,44.7,40.407,444.3292682926829
23,100.0,44.7,41.381,475.7012195121951
24,100.0,44.7,40.894,447.8963414634146
24,100.0,44.7,39.92,438.93292682926824
25,100.0,44.7,40.894,444.9695121951219
25,100.0,44.7,40.894,447.7134146341463
26,100.0,44.7,40.894,445.3353658536585
26,100.0,44.7,41.381,433.9024390243902
27,100.0,44.7,40.894,439.48170731707313
27,100.0,44.7,41.381,430.1524390243903
28,100.0,44.6,40.894,452.1951219512195
28,100.0,44.6,41.381,447.530487804878
29,100.0,44.6,41.868,469.9390243902439
29,74.1,44.6,41.381,440.8536585365854
30,39.0,30.1,40.894,348.2012195121951
30,79.3,30.9,40.407,332.8353658536585
31,86.5,30.7,40.407,440.3963414634146
31,64.5,30.7,39.92,362.7439024390244
32,83.3,30.8,40.894,350.48780487804873
32,65.7,30.8,40.407,452.1036585365853
33,65.8,30.7,41.381,343.7195121951219
33,66.5,30.7,39.92,426.4024390243902
34,41.2,30.8,39.433,336.3109756097561
34,35.5,37.3,38.946,357.3475609756098
35,44.7,43.6,38.946,450.4573170731707
35,97.5,43.7,39.433,355.5182926829268
36,100.0,43.7,40.894,488.8719512195122
36,100.0,43.7,40.407,445.7926829268293
37,100.0,43.7,40.407,459.6036585365854
37,100.0,43.7,40.894,444.6036585365853
38,100.0,43.7,41.381,440.4878048780488
38,64.0,39.3,39.92,426.4939024390244
39,53.5,31.9,39.92,317.1951219512195
39,87.6,32.5,40.407,433.6280487804878
40,97.5,32.5,40.894,454.2987804878049
40,60.6,32.1,40.407,333.2926829268293
41,52.8,33.4,40.407,326.25
41,88.5,34.6,41.381,446.1585365853659
42,100.0,34.6,40.894,447.3475609756097
42,73.4,32.7,40.894,437.5609756097561
43,48.5,34.6,39.92,347.8353658536585
43,100.0,34.6,40.407,441.3109756097561
44,66.2,32.7,40.407,440.030487804878
44,72.8,32.7,40.407,398.2317073170732
45,91.5,32.5,40.407,444.9695121951219
45,67.2,32.5,39.433,460.1524390243902
46,91.9,32.5,40.407,345.18292682926824
46,100.0,32.5,40.894,432.0731707317073
47,74.6,31.8,40.894,443.5975609756098
47,38.3,31.8,39.433,350.2134146341464
48,33.5,37.8,39.92,313.9024390243902
48,37.0,44.9,39.92,326.4329268292683
49,39.0,51.5,38.946,336.219512195122
49,75.0,54.2,39.92,318.5670731707317
50,100.0,54.2,39.92,436.5548780487805
50,100.0,54.2,40.894,441.9512195121951
51,100.0,54.2,41.868,459.2378048780488
51,100.0,54.2,41.381,425.2134146341464
52,100.0,54.2,40.894,428.780487804878
52,100.0,54.2,41.868,438.75
53,100.0,54.2,40.407,423.5670731707317
53,100.0,54.2,40.407,461.1585365853659
54,100.0,54.2,42.355,443.8719512195122
54,100.0,54.2,41.868,429.2378048780488
55,100.0,54.2,42.842,420.640243902439
55,100.0,54.2,42.355,441.1280487804878
56,100.0,54.1,41.381,439.2073170731707
56,100.0,54.1,41.868,446.6158536585366
57,100.0,54.1,42.842,450.9146341463415
57,100.0,54.1,41.868,425.4878048780488
58,100.0,54.1,41.381,433.9939024390244
58,100.0,54.1,42.355,427.7743902439025
59,100.0,54.1,42.842,430.4268292682927
59,100.0,54.1,42.842,450.3658536585366
60,100.0,54.0,43.329,445.7926829268293
60,100.0,54.0,42.355,446.0670731707317
61,100.0,54.0,42.842,436.6463414634146
61,100.0,54.0,42.842,434.5426829268293
62,100.0,54.0,42.355,497.469512195122
62,100.0,54.0,42.842,453.4756097560976
63,60.0,53.9,40.894,448.9024390243903
63,35.7,31.2,42.355,342.25609756097566
64,88.4,31.2,40.894,430.0609756097561
64,69.7,33.5,40.894,446.6158536585366
65,100.0,33.5,42.355,419.9085365853659
65,85.1,32.8,40.894,459.6036585365854
66,58.9,32.7,40.894,446.3414634146342
66,100.0,32.6,42.355,446.4329268292683
67,82.0,32.2,41.381,452.0121951219512
67,64.5,32.2,40.407,456.95121951219517
68,62.1,32.1,41.868,310.609756097561
68,68.0,31.8,40.407,315.9146341463415
69,89.5,31.8,40.894,437.9268292682927
69,75.9,31.9,41.868,423.9329268292683
70,85.6,31.7,40.894,419.8170731707317
70,65.8,31.5,40.407,445.8841463414634
71,71.0,31.5,41.381,455.030487804878
71,60.8,31.4,39.433,401.89024390243907
72,64.7,31.4,40.407,361.0060975609756
73,59.5,31.3,40.407,442.7743902439024
73,70.1,34.8,40.894,376.6463414634146
74,100.0,34.8,42.355,430.1524390243903
74,100.0,34.8,40.894,437.9268292682927
75,85.4,32.4,40.407,418.9939024390244
75,62.6,32.3,39.92,323.5975609756098
76,63.0,32.3,40.407,445.8841463414634
76,63.7,32.3,40.894,351.4024390243902
77,60.3,31.9,39.92,350.9451219512195
77,77.6,32.1,40.407,421.0060975609756
78,68.2,31.9,39.92,432.7134146341464
78,64.3,31.9,40.407,441.49390243902434
79,67.0,31.8,39.92,484.8475609756098
79,35.3,37.6,39.433,365.0304878048781
80,57.4,42.3,40.407,345.0
80,100.0,42.3,40.894,428.780487804878
81,100.0,42.3,40.407,431.3414634146341
81,100.0,42.3,42.355,434.8170731707317
82,100.0,42.3,42.355,444.5121951219512
82,100.0,42.3,41.868,441.0365853658537
83,100.0,42.3,41.868,439.2073170731707
83,100.0,42.3,42.842,426.3109756097561
84,100.0,42.3,41.868,416.9817073170732
84,100.0,42.3,41.868,481.7378048780488
85,100.0,42.3,42.355,430.7926829268293
85,100.0,42.3,41.868,442.1341463414634
86,87.1,42.3,40.894,441.1280487804878
86,52.0,31.5,41.381,314.54268292682923
87,54.7,32.7,41.381,431.0670731707317
87,94.5,33.3,42.842,328.5365853658537
88,78.6,32.6,41.381,424.9390243902439
88,68.5,32.6,40.894,347.1036585365854
89,89.9,32.5,40.894,344.0853658536585
89,58.8,32.5,40.407,429.5121951219512
90,50.5,33.3,40.894,448.4451219512195
90,26.5,33.3,39.433,338.5060975609756
91,29.6,34.5,38.459,343.5365853658536
91,35.7,41.6,39.92,337.0426829268293
92,37.2,48.7,38.459,319.29878048780483
92,36.4,55.5,38.459,412.3170731707317
93,65.7,58.9,39.92,336.4939024390244
93,100.0,58.9,40.407,433.44512195121956
94,100.0,58.9,40.894,437.6524390243902
94,100.0,58.9,41.381,447.2560975609756
95,100.0,58.9,40.894,450.2743902439024
95,100.0,58.9,41.381,472.4085365853659
96,100.0,58.9,41.868,451.6463414634147
