Tiempo,CPU,RAM,Temp,Corriente (mA)
0,27.4,45.6,36.998,474.6951219512195
0,26.0,45.8,37.972,481.7378048780488
1,26.6,46.0,36.998,495.7317073170732
1,25.1,46.2,36.511,471.7682926829268
2,26.1,46.5,36.998,506.7987804878049
2,25.1,46.8,36.511,500.57926829268297
3,26.5,47.0,36.511,510.82317073170736
3,25.5,47.2,36.511,468.29268292682923
4,28.0,47.8,36.998,523.9939024390244
4,59.8,48.7,37.485,521.9817073170732
5,40.0,48.3,36.511,489.8780487804878
5,32.7,48.3,37.485,538.9024390243903
6,38.4,48.6,37.485,514.9390243902438
6,34.4,48.6,36.998,619.0243902439024
7,33.5,48.6,37.485,527.469512195122
7,29.3,48.2,37.972,532.5
8,8.0,49.0,37.485,457.2256097560975
8,48.5,49.1,38.459,537.6219512195122
9,40.9,48.5,38.946,505.3353658536586
9,31.6,48.5,38.459,512.9268292682927
10,37.9,48.5,38.946,641.4329268292684
10,34.8,48.5,38.946,533.048780487805
11,33.5,48.5,38.459,508.0792682926829
11,25.6,48.1,37.485,548.5060975609756
12,18.6,49.0,37.972,413.04878048780483
12,45.7,48.5,38.946,518.5060975609756
13,37.9,48.6,38.946,520.3353658536586
13,32.3,48.6,39.433,519.969512195122
14,38.8,48.7,37.972,518.8719512195122
14,32.2,48.7,39.433,494.1768292682927
15,34.0,48.7,39.433,509.359756097561
15,17.7,48.3,37.972,516.6768292682927
16,26.3,49.0,39.433,446.6158536585366
16,45.9,48.6,38.946,550.4268292682926
17,38.0,48.6,37.485,540.7317073170732
17,34.2,48.6,38.459,524.2682926829268
18,39.1,48.8,37.485,547.5914634146342
18,33.8,48.8,38.459,495.1829268292683
19,32.8,48.8,38.946,516.6768292682927
19,11.7,48.4,38.459,486.3109756097561
20,35.5,49.3,39.433,438.3841463414634
20,42.5,48.7,39.433,503.7804878048781
21,36.8,48.8,37.972,530.9451219512194
21,33.5,48.8,39.433,535.3353658536585
22,38.6,49.0,37.972,545.5792682926829
22,33.2,49.0,38.946,566.7073170731707
23,33.2,49.0,38.946,542.469512195122
23,10.2,48.4,37.972,543.2926829268293
24,37.5,48.5,39.433,473.04878048780483
24,41.3,48.4,38.946,545.7621951219512
25,36.2,48.4,37.485,526.4634146341464
25,34.7,48.4,38.459,496.8292682926829
26,39.9,48.6,38.946,542.8353658536586
26,32.2,48.6,38.946,539.9085365853658
27,31.7,48.6,38.946,554.4512195121952
27,11.0,48.2,38.459,559.7560975609757
28,38.6,48.7,37.972,451.5548780487805
28,42.7,48.5,37.972,554.4512195121952
29,37.3,48.8,39.433,534.1463414634146
29,35.4,48.8,39.433,529.0243902439024
30,40.6,48.9,39.433,576.1280487804878
30,33.3,48.9,38.946,525.7317073170732
31,31.3,48.9,39.433,517.7743902439025
31,11.1,48.5,38.459,543.5670731707318
32,38.3,49.2,38.946,470.2134146341463
32,43.8,48.9,39.92,517.2256097560976
33,36.5,49.0,39.92,537.3475609756098
33,34.7,49.0,39.433,535.8841463414634
34,40.0,49.2,40.894,495.2743902439025
34,32.2,49.2,39.92,520.060975609756
35,34.0,49.2,40.894,502.13414634146335
35,6.0,48.6,38.946,513.1097560975609
36,52.3,48.4,39.433,483.3841463414634
36,42.9,48.5,39.433,570.640243902439
37,34.5,48.5,39.433,512.469512195122
37,39.0,48.5,39.92,583.170731707317
38,37.4,48.7,39.92,554.5426829268293
38,33.5,48.7,39.92,488.5975609756097
39,32.7,48.7,40.407,568.719512195122
