Tiempo,CPU,RAM,Temp,Corriente (mA)
0,40.9,46.6,52.582,495.0
0,50.8,46.7,54.043,471.7682926829268
1,44.4,46.8,54.043,457.6829268292683
1,40.1,47.2,53.069,512.5609756097562
2,66.0,47.3,53.069,497.5609756097561
2,36.0,47.4,54.043,459.6036585365854
3,39.7,47.6,53.069,448.9939024390244
3,34.3,47.8,54.043,471.5853658536585
4,29.3,48.1,53.069,448.3536585365854
4,32.0,48.5,53.069,479.359756097561
5,67.2,49.7,54.043,463.9024390243903
5,44.4,49.1,54.53,517.5
6,35.9,49.1,54.53,485.0304878048781
6,41.5,49.3,55.504,544.390243902439
7,41.2,49.5,55.504,436.4634146341463
7,37.2,49.5,55.017,407.2865853658537
8,35.9,49.0,55.504,423.29268292682923
8,4.5,49.0,54.043,412.3170731707317
9,56.2,49.9,54.53,540.2743902439024
9,43.7,49.4,55.504,522.8963414634147
10,35.9,49.4,55.504,480.3658536585366
10,42.7,49.7,55.017,448.0792682926829
11,40.0,49.7,55.504,481.0060975609756
11,35.9,49.7,55.504,450.3658536585366
12,33.5,48.9,54.043,457.5914634146341
12,7.7,49.0,55.504,363.5670731707317
13,54.7,49.8,54.53,484.7560975609756
13,43.9,49.4,55.504,407.74390243902434
14,35.7,49.4,54.53,408.75
14,42.7,49.8,55.504,470.0304878048781
15,38.3,49.8,56.478,495.3658536585366
15,37.8,49.8,55.991,482.7439024390244
16,31.7,49.1,55.017,496.8292682926829
16,12.1,49.2,55.017,392.0121951219512
17,52.5,49.8,56.478,499.8475609756097
17,43.1,49.4,55.017,441.3109756097561
18,33.2,49.4,55.504,552.2560975609756
18,41.6,49.4,55.017,449.0853658536586
19,39.2,49.5,55.504,467.01219512195127
19,36.5,49.5,55.504,452.2865853658536
20,32.8,49.1,54.53,474.2378048780488
20,8.1,49.1,55.017,393.4756097560976
21,58.7,49.9,55.991,464.26829268292687
21,42.3,49.4,56.478,441.67682926829264
22,36.4,49.4,55.504,500.030487804878
22,41.8,49.5,55.991,448.3536585365854
23,40.5,49.5,55.991,457.04268292682923
23,68.0,49.5,55.991,483.2012195121951
24,34.9,49.0,55.991,588.4756097560976
24,8.0,49.0,55.017,398.8719512195122
25,56.9,49.4,56.478,497.1951219512195
25,43.7,49.2,55.504,459.51219512195127
26,34.9,49.2,55.991,439.7560975609756
26,43.7,49.3,56.478,467.1036585365854
27,39.9,49.3,55.991,458.4146341463415
27,37.3,49.3,55.991,450.0
28,31.7,48.6,55.504,447.8963414634146
28,14.0,49.3,55.504,395.7621951219512
29,51.8,49.7,55.504,529.0243902439024
29,45.0,49.3,55.991,474.5121951219512
30,35.7,49.3,55.504,453.4756097560976
30,43.7,49.5,55.991,567.8048780487804
31,39.2,49.7,54.53,441.49390243902434
31,35.4,49.7,56.478,467.8353658536585
32,28.7,49.5,55.991,477.98780487804873
32,16.2,49.7,56.965,436.280487804878
33,48.7,49.7,56.478,503.14024390243907
33,44.4,49.5,56.478,431.25
34,34.2,49.5,55.991,421.5548780487805
34,41.7,49.5,55.504,411.4024390243902
35,39.0,49.6,55.991,420.0914634146342
35,36.2,49.6,55.991,434.9085365853659
36,34.3,48.8,55.991,482.8353658536586
